Feature,1006468,1006469
高度(mm),2745,2745
驱动电机数,-,-
驱动方式,中置后驱,中置后驱
零胎压继续行驶,-,-
陡坡缓降,-,-
防紫外线玻璃,-,-
长度(mm),5995,5995
长*宽*高(mm),5995×2040×2745,5995×2040×2745
铝合金轮圈,●,●
配气机构,DOHC,DOHC
遮阳板化妆镜,-,-
遥控钥匙,○,○
道路救援呼叫,-,-
远光灯,卤素,卤素
进气形式,涡轮增压,涡轮增压
近光灯,卤素,卤素
运动风格座椅,-,-
运动外观套件,-,-
轴距(mm),3720,3720
转向辅助灯,-,-
转向头灯,-,-
车顶行李架,-,-
车门数(个),2,2
车载电视,-,-
车载冰箱,-,-
车身结构_y,客车,客车
车身结构_x,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-
车窗防夹手功能,-,-
车型名称,九龙C6 2018款 2.0T豪华型,九龙C6 2018款 3.0T豪华型
车内空气调节/花粉过滤,-,-
车内氛围灯,-,-
车内中控锁,-,-
车体结构,承载式,承载式
货箱尺寸(mm),-,-
行车电脑显示屏,-,-
行程(mm),-,-
蓝牙/车载电话,●,●
自适应远近光,-,-
自动驻车,-,-
自动头灯,-,-
膝部气囊,-,-
腰部支撑调节,-,-
能源类型,汽油,柴油
胎压监测装置,-,-
肩部支撑调节,-,-
缸盖材料,铝合金,铝合金
缸径(mm),-,-
缸体材料,铸铁,铸铁
级别,轻客,轻客
简称,6挡手动,6挡手动
第二排靠背角度调节,●,●
第二排座椅移动,-,-
第三排座椅,-,-
空调控制方式,手动●,手动●
空气悬架,-,-
皮质方向盘,-,-
百公里耗电量(kWh/100km),-,-
电池组质保,-,-
电池类型,-,-
电池容量(kWh),-,-
电池充电时间,-,-
电机类型,-,-
电机布局,-,-
电动机总扭矩(N·m),-,-
电动机总功率(kW),-,-
电动座椅记忆,-,-
电动天窗,-,-
电动吸合门,-,-
电动后备厢,-,-
环保标准,国IV,国V
牵引力控制(ASR/TCS/TRC等),-,-
燃油标号,92号,0号
燃料形式,汽油,柴油
温度分区控制,-,-
油箱容积(L),90,90
气缸数(个),4,4
气缸排列形式,L,L
每缸气门数(个),4,4
最高车速(km/h),-,-
最小离地间隙(mm),-,-
最大马力(Ps),190,150
最大载重质量(kg),-,-
最大扭矩转速(rpm),1800-4000,1600-2400
最大扭矩(N·m)_y,290,330
最大扭矩(N·m)_x,-,-
最大功率转速(rpm),5000,-
最大功率(kW)_y,140,110
最大功率(kW)_x,-,-
无钥匙进入系统,-,-
无钥匙启动系统,-,-
方向盘调节,上下调节,上下调节
方向盘记忆,-,-
方向盘电动调节,-,-
方向盘换挡,-,-
方向盘加热,-,-
整车质保,-,-
整备质量(kg),-,-
排量(mL),1997,2982
挡位个数,6,6
扬声器品牌,-,-
扬声器个数,6-7喇叭,6-7喇叭
感应雨刷,-,-
感应后备厢,-,-
快充电量(%),-,-
座椅高低调节,-,-
座椅材料,织物,织物
座位数(个),10-18,10-18
并线辅助,-,-
工信部综合油耗(L/100km),-,-
工信部续航里程(km),-,-
宽度(mm),2040,2040
定速巡航,-,-
安全带未系提示,-,-
大灯高度可调,-,-
大灯清洗装置,-,-
多功能方向盘,-,-
外接音源接口,USB+SD卡插槽,USB+SD卡插槽
后风挡遮阳帘,-,-
后雨刷,●,●
后轮距(mm),-,-
后轮胎规格,6.50R16LT,6.50R16LT
后视镜记忆,-,-
后视镜电动调节,-,-
后视镜电动折叠,-,-
后视镜加热,-,-
后电动机最大扭矩(N·m),-,-
后电动机最大功率(kW),-,-
后桥限滑差速器/差速锁,-,-
后排车门开启方式,-,-
后排独立空调,-,-
后排液晶屏,○,○
后排杯架,-,-
后排座椅电动调节,-,-
后排座椅放倒方式,-,-
后排侧隐私玻璃,-,-
后排侧遮阳帘,-,-
后悬架类型,钢板弹簧,钢板弹簧
后座出风口,●,●
后制动器类型,鼓式,鼓式
可变转向比,-,-
可变悬架,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT)
变速箱,6挡手动,6挡手动
发动机电子防盗,-,-
发动机型号,-,-
发动机启停技术,-,-
发动机,2.0T 190马力 L4,3.0T 150马力 L4
压缩比,-,-
厂商指导价(元),26.48万,28.68万
厂商,九龙汽车,九龙汽车
助力类型,液压助力,液压助力
前雾灯,●,●
前轮距(mm),-,-
前轮胎规格,225/75 R16,225/75 R16
前电动机最大扭矩(N·m),-,-
前电动机最大功率(kW),-,-
前桥限滑差速器/差速锁,-,-
前悬架类型,双叉臂式独立悬挂,双叉臂式独立悬挂
前制动器类型,盘式,盘式
前/后驻车雷达,-,-
前/后电动车窗,-,-
前/后排座椅通风,-,-
前/后排座椅按摩,-,-
前/后排座椅加热,-,-
前/后排头部气囊(气帘),-,-
前/后排侧气囊,-,-
前/后中央扶手,-,-
刹车辅助(EBA/BAS/BA等),-,-
制动力分配(EBD/CBC等),●,●
内/外后视镜自动防眩目,-,-
全景摄像头,-,-
全景天窗,-,-
倒车视频影像,●,●
侧滑门,-,-
供油方式,多点电喷,直喷
主/副驾驶座电动调节,-,-
主/副驾驶座安全气囊,-,-
中控台彩色大屏,●,●
中央差速器锁止功能,-,-
上市时间,-,-
上坡辅助,-,-
LED日间行车灯,-,-
ISOFIX儿童座椅接口,-,-
GPS导航系统,●,●
CD/DVD,-,-
ABS防抱死,●,●
220V/230V电源,-,-
