Feature,21620,23370,33587
高度(mm),1213,1211,1206
驻车制动类型,电子驻车,电子驻车,电子驻车
驱动方式,中置后驱,中置后驱,中置后驱
零胎压继续行驶,●,●,●
陡坡缓降,○,○,○
防紫外线玻璃,-,-,-
长度(mm),4568,4568,4605
长*宽*高(mm),4568*1952*1213,4568*1952*1211,4605*1975*1206
铝合金轮圈,●,●,●
配气机构,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●
遥控钥匙,●,●,●
道路救援呼叫,-,-,-
远程启动,-,-,-
远光灯,LED,LED,LED
进气形式,双涡轮增压,双涡轮增压,双涡轮增压
近光灯,LED,LED,LED
运动风格座椅,●,●,●
运动外观套件,●,●,●
轴距(mm),2650,2650,2650
转向辅助灯,-,-,-
转向头灯,-,-,-
车顶行李架,-,-,-
车门数(个),2,2,2
车道偏离预警系统,-,-,-
车载空气净化器,-,-,-
车载电视,-,-,-
车载冰箱,-,-,-
车身结构_y,硬顶跑车,硬顶敞篷车,硬顶跑车
车身结构_x,2门2座硬顶跑车,2门2座硬顶敞篷车,2门2座硬顶跑车
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,-,-,-
车窗防夹手功能,●,●,●
车窗一键升降,全车,全车,全车
车型名称,法拉利488 2015款 488 GTB,法拉利488 2015款 488 Spider,法拉利488 2018款 488 Pista
车内空气调节/花粉过滤,●,●,●
车内氛围灯,-,-,-
车内中控锁,●,●,●
车体结构,承载式,承载式,承载式
行车电脑显示屏,●,●,●
行程(mm),83,83,-
行李厢容积(L),230,230,302
蓝牙/车载电话,●,●,●
自适应远近光,-,-,-
自适应巡航,-,-,-
自动驻车,●,●,●
自动泊车入位,-,-,-
自动头灯,●,●,●
膝部气囊,-,-,-
腰部支撑调节,○,○,-
能源类型,汽油,汽油,汽油
胎压监测装置,●,●,●
肩部支撑调节,-,-,-
缸盖材料,铝合金,铝合金,铝合金
缸径(mm),86.5,86.5,-
缸体材料,铝合金,铝合金,铝合金
级别,跑车,跑车,跑车
简称,7挡双离合,7挡双离合,7挡双离合
第二排靠背角度调节,-,-,-
第二排独立座椅,-,-,-
第二排座椅移动,-,-,-
第三排座椅,-,-,-
空调控制方式,自动●,自动●,自动●
空气悬架,-,-,-
皮质方向盘,●,●,●
疲劳驾驶提示,-,-,-
电磁感应悬架,-,-,-
电动座椅记忆,-,-,-
电动天窗,-,-,-
电动吸合门,-,-,-
电动后备厢,-,-,-
环保标准,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),●,●,●
燃油标号,98号,98号,98号
燃料形式,汽油,汽油,汽油
温度分区控制,●,●,●
流媒体车内后视镜,-,-,-
油箱容积(L),78,78,78
气缸数(个),8,8,8
气缸排列形式,V,V,V
每缸气门数(个),4,4,4
最高车速(km/h),330,325,340
最小离地间隙(mm),-,-,-
最大马力(Ps),670,670,720
最大扭矩转速(rpm),3000,3000,3000
最大扭矩(N·m)_y,760,760,770
最大扭矩(N·m)_x,760,760,770
最大功率转速(rpm),8000,8000,8000
最大功率(kW)_y,492,492,530
最大功率(kW)_x,492,492,530
无钥匙进入系统,-,-,-
无钥匙启动系统,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘记忆,-,-,-
方向盘电动调节,●,●,-
方向盘换挡,●,●,●
方向盘加热,-,-,-
整车质保,三年不限公里,三年不限公里,三年不限公里
整备质量(kg),1475,1525,1280
整体主动转向系统,-,-,-
排量(mL),3902,3902,3902
挡位个数,7,7,7
扬声器品牌,JBL,JBL,JBL
扬声器个数,8-9喇叭(选装≥12喇叭),8-9喇叭(选装≥12喇叭),8-9喇叭(选装≥12喇叭)
手机无线充电,-,-,-
手机互联/映射功能,-,-,-
感应雨刷,●,●,●
感应后备厢,-,-,-
座椅高低调节,●,●,●
座椅材料,真皮,真皮,真皮
座位数(个),2,2,2
并线辅助,-,-,-
工信部综合油耗(L/100km),11.4,11.4,11.8
工信部纯电续航里程(km),-,-,-
导航路况信息显示,-,-,-
宽度(mm),1952,1952,1975
实测油耗(L/100km),-,-,-
实测100-0km/h制动(m),-,-,-
实测0-100km/h加速(s),-,-,-
定速巡航,●,●,●
官方0-100km/h加速(s),3,3,2.85
安全带未系提示,●,●,●
大灯高度可调,●,●,●
大灯清洗装置,●,●,●
夜视系统,-,-,-
多天窗,-,-,-
多功能方向盘,●,●,●
外接音源接口,USB+AUX,USB+AUX,USB
备胎规格,无,无,无
后风挡遮阳帘,-,-,-
后雨刷,-,-,-
后轮距(mm),1647,1647,1649
后轮胎规格,305/30 R20,305/30 R20,305/30 R20
后视镜记忆,-,-,-
后视镜电动调节,●,●,●
后视镜电动折叠,●,●,●
后视镜加热,●,●,●
后桥限滑差速器/差速锁,限滑差速器,限滑差速器,限滑差速器
后排独立空调,-,-,-
后排液晶屏,-,-,-
后排杯架,-,-,-
后排座椅电动调节,-,-,-
后排座椅放倒方式,-,-,-
后排侧隐私玻璃,-,-,-
后排侧遮阳帘,-,-,-
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
后座出风口,-,-,-
后制动器类型,陶瓷通风盘式,陶瓷通风盘式,陶瓷通风盘式
可变转向比,-,-,-
可变悬架,软硬调节(选装高低调节),软硬调节(选装高低调节),软硬调节(选装高低调节)
可加热/制冷杯架,-,-,-
变速箱类型,双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT)
变速箱,7挡双离合,7挡双离合,7挡双离合
发动机电子防盗,●,●,●
发动机特有技术,VBM可变增压管理,VBM可变增压管理,-
发动机型号,-,-,-
发动机启停技术,●,●,●
发动机,3.9T 670马力 V8,3.9T 670马力 V8,3.9T 720马力 V8
压缩比,9.4,9.4,9.6
厂商指导价(元),315.50万,350.80万,418.80万
厂商,法拉利,法拉利,法拉利
助力类型,电子液压助力,电子液压助力,电子液压助力
副驾驶位后排可调节按钮,-,-,-
前雾灯,-,-,-
前轮距(mm),1679,1679,1679
前轮胎规格,245/35 R20,245/35 R20,245/35 R20
前桥限滑差速器/差速锁,-,-,-
前悬架类型,双叉骨悬架,双叉骨悬架,双叉骨悬架
前大灯雨雾模式,-,-,-
前制动器类型,陶瓷通风盘式,陶瓷通风盘式,陶瓷通风盘式
前/后驻车雷达,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅通风,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,-
前/后排座椅按摩,-,-,-
前/后排座椅加热,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,-,-,-
刹车辅助(EBA/BAS/BA等),●,●,●
制动力分配(EBD/CBC等),●,●,●
内置行车记录仪,-,-,-
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●
全液晶仪表盘,-,-,-
全景摄像头,-,-,-
全景天窗,-,-,-
倒车视频影像,○,○,-
侧滑门,-,-,-
供油方式,直喷,直喷,直喷
主动降噪,-,-,-
主动刹车/主动安全系统,-,-,-
主/副驾驶座电动调节,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控液晶屏分屏显示,-,-,-
中控台彩色大屏尺寸,-,-,-
中控台彩色大屏,-,-,-
中央差速器锁止功能,-,-,-
上市时间,2015.04,2015.11,2018.03
上坡辅助,●,●,●
LED日间行车灯,●,●,●
ISOFIX儿童座椅接口,-,-,-
HUD抬头数字显示,-,-,-
GPS导航系统,●,-,●
CD/DVD,单碟CD,单碟CD,-
ABS防抱死,●,●,●
220V/230V电源,-,-,-
