Feature,39445,40177,40178,40228,40229,40230,44888
高度(mm),1664,1664,1664,1685,1685,1685,1664
驾驶辅助影像,,,,,,,
驾驶模式切换,,-,,,,,-
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置前驱
陡坡缓降,●,●,●,●,●,●,●
长度(mm),4574,4574,4574,4574,4574,4574,4574
长*宽*高(mm),4574*1876*1664,4574*1876*1664,4574*1876*1664,4574*1876*1685,4574*1876*1685,4574*1876*1685,4574*1876*1664
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远程启动功能,-,-,-,,,,-
远光灯光源,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,
运动风格座椅,●,-,-,●,●,●,-
轴距(mm),2720,2720,2720,2720,2720,2720,2720
轮圈材质,,,,,,,
转向辅助灯,●,●,●,●,●,●,●
车顶行李架,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,●,●,●,-
车道保持辅助系统,-,-,-,-,-,-,-
车载空气净化器,-,-,-,●,●,●,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,-,-,-,●,●,●,-
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车型名称,名爵HS 2019款 20T 自动两驱Trophy超跑版 国VI,名爵HS 2019款 20T 手动两驱豪华版 国VI,名爵HS 2019款 20T 自动两驱豪华版 国VI,名爵HS 2019款 30T 自动两驱Trophy超能版 国VI,名爵HS 2019款 30T 自动两驱Trophy超燃版 国VI,名爵HS 2019款 30T 自动四驱Trophy超燃版 国VI,名爵HS 2020款 20T 自动两驱超豪版 国VI
车前雾灯,,,,,,,
车内香氛装置,-,-,-,●,●,●,-
车内环境氛围灯,-,-,-,-,,,-
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,,,
行车电脑显示屏幕,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,-,-,-,●,●,●,-
自动驻车,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,7挡干式双离合,6挡手动,7挡干式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,7挡干式双离合
第二排座椅调节,,,,,,,
空调温度控制方式,,,,,,,
离去角(°),28,28,28,28,28,28,28
疲劳驾驶提示,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,●,●,●,-
电动后备厢,-,-,-,●,●,●,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,●,●,●,-
液晶仪表尺寸,,,,,,,
油箱容积(L),55,55,55,55,55,55,55
气缸数(个),4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4
最高车速(km/h),190,190,190,210,210,210,190
最大马力(Ps),169,169,169,231,231,231,173
最大满载质量(kg),1978,1965,1978,2083,2083,2157,1996
最大扭矩转速(rpm),1700-4300,1700-4300,1700-4300,2000-4000,2000-4000,2000-4000,1750-4000
最大扭矩(N·m)_y,250,250,250,370,370,370,275
最大扭矩(N·m)_x,250,250,250,370,370,370,275
最大功率转速(rpm),5600,5600,5600,5300,5300,5300,5600
最大功率(kW)_y,124,124,124,170,170,170,127
最大功率(kW)_x,124,124,124,170,170,170,127
最大净功率(kW),119,119,119,164,164,164,121
无钥匙进入功能,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-
方向盘材质,,,,,,,
方向盘换挡,●,-,●,●,●,●,●
方向盘加热,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,
整车质保,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里
整备质量(kg),1539,1526,1539,1644,1644,1718,1557
接近角(°),19,19,19,19,19,19,19
排量(mL),1490,1490,1490,1995,1995,1995,1490
换挡形式,,,,,,,
挡位个数,7,6,7,6,6,6,7
扬声器数量,,,,,,,
扬声器品牌名称,-,-,-,-,,,-
手机无线充电功能,-,-,-,-,-,-,-
手机互联/映射,,,,-,-,-,
感应雨刷功能,-,-,-,-,-,,-
座椅材质,,,,,,,
座位数(个),5,5,5,5,5,5,5
并线辅助,-,-,-,-,●,●,-
巡航系统,,,,,,,
导航路况信息显示,-,-,-,●,●,●,-
宽度(mm),1876,1876,1876,1876,1876,1876,1876
官方0-100km/h加速(s),-,-,-,-,-,-,-
安全带未系提醒,,,,,,,
天窗类型,,,,,,,
大灯高度可调,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,
多功能方向盘,●,●,●,●,●,●,●
外后视镜功能,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
四驱形式,-,-,-,-,-,适时四驱,-
后雨刷,●,●,●,●,●,●,●
后轮距(mm),1593,1593,1593,1593,1593,1593,1593
后轮胎规格,235/50 R18,215/60 R17,215/60 R17,235/50 R18,235/50 R18,235/50 R18,215/60 R17
后排独立空调,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●,●,●,●
后备厢容积(L),463-1287,463-1287,463-1287,463-1287,463-1287,463-1287,463-1287
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式
变速箱类型,干式双离合变速箱(DCT),手动变速箱(MT),干式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),干式双离合变速箱(DCT)
变速箱,7挡干式双离合,6挡手动,7挡干式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,7挡干式双离合
发动机电子防盗,●,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置,横置
发动机型号,15E4E,15E4E,15E4E,20L4E,20L4E,20L4E,15C4E
发动机启停技术,-,-,-,●,●,●,-
发动机,1.5T 169马力 L4,1.5T 169马力 L4,1.5T 169马力 L4,2.0T 231马力 L4,2.0T 231马力 L4,2.0T 231马力 L4,1.5T 173马力 L4
厂商指导价(元),12.98万,10.98万,11.98万,13.98万,14.98万,16.98万,11.98万
厂商,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团
卫星导航系统,-,-,-,●,●,●,-
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,
前轮距(mm),1574,1574,1574,1574,1574,1574,1574
前轮胎规格,235/50 R18,215/60 R17,215/60 R17,235/50 R18,235/50 R18,235/50 R18,215/60 R17
前方碰撞预警,-,-,-,●,●,●,-
前排座椅功能,,-,-,,,,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●
内后视镜功能,,,,,,,
全液晶仪表盘,-,-,-,-,●,●,-
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷
主座椅调节方式,,,,,,,
主动刹车/主动安全系统,-,-,-,●,●,●,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,-,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,
中控屏幕尺寸,,,,,,,
中央差速器锁止功能,-,-,-,-,-,●,-
中央差速器结构,-,-,-,-,-,多片离合器,-
上市时间,2019.06,2019.06,2019.06,2019.07,2019.07,2019.07,2020.04
上坡辅助,●,●,●,●,●,●,●
USB/Type-C接口数量,,,,,,,
OTA升级,-,-,-,●,●,●,-
NEDC综合油耗(L/100km),6.6,6.5,6.6,8.2,8.2,8.6,6.6
LED日间行车灯,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●
ABS防抱死,●,●,●,●,●,●,●
4G/5G网络,-,-,-,,,,-
