,32172
车型名称,Polestar 1 2018款 标准型
厂商指导价(元),145.00万
厂商,Polestar
级别,中大型车
能源类型,插电式混合动力
上市时间,2018.07
工信部纯电续驶里程(km),150
快充时间(小时)_x,-
慢充时间(小时)_x,-
快充电量百分比,-
最大功率(kW)_x,-
最大扭矩(N·m)_x,-
发动机,2.0T 326马力 L4
变速箱,8挡手自一体
长*宽*高(mm),4500*未知*未知
车身结构_x,2门4座硬顶跑车
最高车速(km/h),-
官方0-100km/h加速(s),-
实测0-100km/h加速(s),-
实测100-0km/h制动(m),-
实测续航里程(km),-
实测快充时间(小时),-
实测慢充时间(小时),-
工信部综合油耗(L/100km),-
实测油耗(L/100km),-
整车质保,待查
长度(mm),4500
宽度(mm),-
高度(mm),-
轴距(mm),2741
前轮距(mm),-
后轮距(mm),-
最小离地间隙(mm),-
车身结构_y,硬顶跑车
车门数(个),2
座位数(个),4
油箱容积(L),-
行李厢容积(L),-
整备质量(kg),-
发动机型号,-
排量(mL),1969
进气形式,机械+涡轮增压
气缸排列形式,L
气缸数(个),4
每缸气门数(个),4
压缩比,-
配气机构,DOHC
缸径(mm),-
行程(mm),-
最大马力(Ps),326
最大功率(kW)_y,240
最大功率转速(rpm),6000
最大扭矩(N·m)_y,420
最大扭矩转速(rpm),-
发动机特有技术,-
燃料形式,插电式混合动力
燃油标号,95号
供油方式,直喷
缸盖材料,铝合金
缸体材料,铝合金
环保标准,国V
电机类型,-
电动机总功率(kW),170
电动机总扭矩(N·m),480
前电动机最大功率(kW),-
前电动机最大扭矩(N·m),-
后电动机最大功率(kW),170
后电动机最大扭矩(N·m),480
系统综合功率(kW),-
系统综合扭矩(N·m),-
驱动电机数,双电机
电机布局,后置
电池类型,-
工信部续航里程(km),150
电池容量(kWh),34
百公里耗电量(kWh/100km),-
电池组质保,待查
快充时间(小时)_y,-
慢充时间(小时)_y,-
快充电量(%),-
挡位个数,8
变速箱类型,手自一体变速箱(AT)
简称,8挡手自一体
驱动方式,前置四驱
四驱形式,电动四驱
前悬架类型,双叉臂式独立悬架
后悬架类型,多连杆独立悬架
助力类型,电动助力
车体结构,承载式
前制动器类型,通风盘式
后制动器类型,通风盘式
驻车制动类型,电子驻车
前轮胎规格,275/30 R21
后轮胎规格,295/30 R21
备胎规格,无
