Feature,55630,55631
高度(mm),1290,1300
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,,
驱动方式,,
风阻系数(Cd),-,-
陡坡缓降,-,-
限滑差速器/差速锁,,
长度(mm),4750,4750
长*宽*高(mm),4750*1950*1290,4750*1950*1300
钥匙类型,,
配气机构,DOHC,DOHC
远光灯光源,,
进气形式,双涡轮增压,双涡轮增压
近光灯光源,,
运动风格座椅,●,●
轴距(mm),2805,2805
轮圈材质,,
车门数(个),,
车门开启方式,-,-
车道偏离预警系统,-,-
车道保持辅助系统,-,-
车载空气净化器,-,-
车身结构_y,硬顶跑车,软顶敞篷车
车身结构_x,2门4座硬顶跑车,2门4座软顶敞篷车
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,-,-
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,阿斯顿·马丁DB11 2023款 4.0T V8 Coupe,阿斯顿·马丁DB11 2023款 4.0T V8 Volante
车前雾灯,-,-
车内环境氛围灯,-,-
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,-,-
车体结构,承载式,承载式
语音识别控制系统,,
触摸式阅读灯,●,●
行车电脑显示屏幕,,
蓝牙/车载电话,●,●
自适应远近光,-,-
自动驻车,-,-
自动泊车入位,●,●
自动头灯,●,●
膝部气囊,,
能源类型_y,汽油,汽油
能源类型_x,汽油,汽油
胎压监测功能,,
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
级别,跑车,跑车
简称,8挡手自一体,8挡手自一体
第二排座椅调节,-,-
空调温度控制方式,,
疲劳驾驶提示,-,-
电动扰流板,●,●
电动座椅记忆功能,,
电动后备厢,-,-
环保标准_y,国VI,国VI
环保标准_x,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●
燃油标号,95号,95号
温度分区控制,●,●
液晶仪表尺寸,-,-
油箱容积(L),78,78
气缸数(个),8,8
气缸排列形式,V,V
每缸气门数(个),4,4
最高车速(km/h),309,309
最大马力(Ps),534,534
最大满载质量(kg),-,-
最大扭矩转速(rpm),2000-5000,2000-5000
最大扭矩(N·m)_y,675,675
最大扭矩(N·m)_x,675,675
最大功率转速(rpm),6000,6000
最大功率(kW)_y,393,393
最大功率(kW)_x,393,393
最大净功率(kW),393,393
无钥匙进入功能,,
无钥匙启动系统,●,●
无框设计车门,●,●
方向盘记忆,●,●
方向盘材质,,
方向盘换挡,●,●
方向盘加热,○,○
方向盘位置调节,,
整车质保,,
整备质量(kg),1760,1870
排量(mL),3982,3982
换挡形式,,
挡位个数,8,8
扬声器数量,,
扬声器品牌名称,,
手机无线充电功能,-,-
手机互联/映射,-,-
感应雨刷功能,,
座椅材质,,
座位数(个),,
并线辅助,●,●
巡航系统,,
导航路况信息显示,●,●
宽度(mm),1950,1950
官方0-100km/h加速(s),4,4.1
安全带未系提醒,,
天窗类型,-,-
大灯高度可调,●,●
大灯延时关闭,●,●
多媒体/充电接口,,
多功能方向盘,●,●
外观套件,,
外后视镜功能,,
备胎规格,,
后雨刷,-,-
后轮距(mm),-,-
后轮胎规格,,
后排独立空调,-,-
后排杯架,-,-
后排座椅放倒形式,-,-
后排侧隐私玻璃,○,○
后悬架类型,,
后座出风口,-,-
后备厢容积(L),-,-
后制动器类型,,
可变悬架功能,,
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,8挡手自一体,8挡手自一体
发动机电子防盗,●,●
发动机布局,纵置,纵置
发动机型号,177950,177950
发动机启停技术,●,●
发动机,4.0T 534马力 V8,4.0T 534马力 V8
压缩比,10.5,10.5
厂商指导价(元),235.80万,245.80万
厂商,阿斯顿·马丁,阿斯顿·马丁
卫星导航系统,●,●
助力类型,,
副驾驶位后排可调节按钮,-,-
副座椅调节方式,,
前轮距(mm),-,-
前轮胎规格,,
前排座椅功能,,
前悬架类型,,
前制动器类型,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,-
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●
制动力分配(EBD/CBC等),●,●
内后视镜功能,,
全液晶仪表盘,●,●
供油方式,直喷,直喷
主座椅调节方式,,
主动刹车/主动安全系统,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,
中控屏幕尺寸,,
上市时间,2022.02,2022.02
上坡辅助,●,●
WLTC综合油耗(L/100km),11.2,11.3
USB/Type-C接口数量,,
OTA升级,-,-
LED日间行车灯,●,●
ISOFIX儿童座椅接口,○,○
ABS防抱死,●,●
