Feature,52399,52400,57540,63419,63916
高度(mm),1838,1848,1838,1840,1854
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,,,,,
驱动电机数,双电机,双电机,双电机,双电机,双电机
驱动方式,,,,,
风阻系数(Cd),-,-,-,-,-
陡坡缓降,●,●,●,●,●
限滑差速器/差速锁,-,,-,-,
防侧翻系统,-,-,-,●,●
长度(mm),4882,4882,4882,4882,4882
长*宽*高(mm),4882*1894*1838,4882*1894*1848,4882*1894*1838,4882*1931*1840,4882*1931*1854
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,
辅助驾驶等级,,,,-,-
轴距(mm),3008,3008,3008,3008,3008
轮圈材质,,,,,
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-
车载空气净化器,-,-,-,-,-
车载智能系统,-,-,-,,
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,-,-,-,●,●
车窗防夹手功能,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-
车型名称,牧马人新能源 2021款 四门 2.0T 4xe 撒哈拉,牧马人新能源 2021款 四门 2.0T 4xe 罗宾汉,牧马人新能源 2022款 四门 2.0T 4xe 撒哈拉 萤光黄限量版,牧马人新能源 2024款 四门 2.0T 4xe 撒哈拉,牧马人新能源 2024款 四门 2.0T 4xe 罗宾汉
车前雾灯,,,,,
车内环境氛围灯,-,-,-,-,-
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-
车侧脚踏板,,-,,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式
语音识别控制系统,,,,,
语音分区域唤醒识别,,,,,
行车电脑显示屏幕,,,,,
行李厢12V电源接口,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●
自适应远近光,●,●,●,●,●
自动驻车,-,-,-,●,●
自动头灯,●,●,●,●,●
能量回收系统,●,●,●,-,-
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,-,-
缺气保用轮胎,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
系统综合扭矩(N·m),637,637,637,657,657
系统综合功率(kW),276,276,276,276,276
系统综合功率(Ps),375,375,375,375,375
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排座椅调节,-,-,-,-,-
空调温度控制方式,,,,,
离去角(°),29.2,29.2,29.2,30.8,31.8
百公里耗电量(kWh/100km),22.7,23,22.7,-,-
疲劳驾驶提示,-,-,-,-,-
电能当量燃料消耗量(L/100km),2.6,2.6,2.6,-,-
电池能量(kWh),17,17,17,-,-
电池类型,,,,,
电池冷却方式,-,-,-,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机总马力(Ps),181,181,181,181,181
电动机总扭矩(N·m),303,303,303,303,303
电动机总功率(kW),133,133,133,133,133
电动机(Ps),181,181,181,181,181
电动座椅记忆功能,-,-,-,-,-
电动后备厢,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号
满载最小离地间隙(mm),242,251,242,242,252
温度分区控制,●,●,●,●,●
液晶仪表尺寸,,,,,
油箱容积(L),65,65,65,65.1,65.1
气缸数(个),4,4,4,4,4
气缸排列形式,L,L,L,L,L
每缸气门数(个),4,4,4,4,4
最高车速(km/h),-,-,-,-,-
最大马力(Ps),266,266,266,266,266
最大满载质量(kg),2812,2903,2812,-,-
最大扭矩转速(rpm),3000,3000,3000,3000,3000
最大扭矩(N·m)_y,400,400,400,405,405
最大扭矩(N·m)_x,637,637,637,657,657
最大功率转速(rpm),5000,5000,5000,5000,5000
最大功率(kW)_y,195.4,195.4,195.4,195.4,195.4
最大功率(kW)_x,276,276,276,276,276
最大净功率(kW),195.4,195.4,195.4,-,-
最低荷电状态油耗(L/100km),7.8,9.1,7.8,-,-
无钥匙进入功能,-,,-,,
无钥匙启动系统,●,●,●,●,●
方向盘记忆,-,-,-,-,-
方向盘材质,,,,,
方向盘换挡,-,-,-,-,-
方向盘加热,●,●,●,●,●
方向盘位置调节,,,,,
整车质保,,,,-,-
整备质量(kg),2311,2366,2311,2342,2450
接近角(°),34.8,34.8,34.8,35.8,36.6
排量(mL),1995,1995,1995,1995,1995
换挡形式,,,,,
挡位个数,8,8,8,8,8
扬声器数量,,,,,
扬声器品牌名称,-,,-,,
手机无线充电功能,-,-,-,-,-
手机互联/映射,,,,,
手机APP远程功能,,,,-,-
慢充接口位置,车左后侧,车左后侧,车左后侧,车左前侧,车左前侧
感应雨刷功能,-,-,-,-,-
座椅材质,,,,,
座位数(个),,,,,
并线辅助,-,●,-,●,●
巡航系统,,,,,
尾门玻璃独立开启,●,●,●,●,●
导航路况信息显示,●,●,●,●,●
对外放电,-,-,-,-,●
宽度(mm),1894,1894,1894,1931,1931
实测100-0km/h制动(m),42.94,-,-,-,-
实测0-100km/h加速(s),5.58,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-
安全带未系提醒,,,,,
天窗类型,-,-,-,-,-
大灯高度可调,●,●,●,●,●
大灯延时关闭,●,●,●,●,●
多媒体/充电接口,,,,,
多功能方向盘,●,●,●,●,●
外后视镜功能,,,,,
备胎规格,,,,,
地图品牌,-,-,-,,
四驱形式,,,,,
后雨刷,●,●,●,●,●
后轮距(mm),1636,1636,1636,1636,1636
后轮胎规格,,,,,
后电动机最大扭矩(N·m),250,250,250,250,250
后电动机最大功率(kW),100,100,100,100,100
后排独立空调,-,-,-,-,-
后排杯架,●,●,●,●,●
后排座椅放倒形式,,,,,
后悬架类型,,,,,
后座出风口,●,●,●,●,●
后备厢容积(L),-,-,-,-,-
后制动器类型,,,,,
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
发动机电子防盗,●,●,●,●,●
发动机布局,纵置,纵置,纵置,纵置,纵置
发动机型号,6,6,6,-,-
发动机启停技术,●,●,●,●,●
发动机,2.0T 266马力 L4,2.0T 266马力 L4,2.0T 266马力 L4,2.0T 266马力 L4,2.0T 266马力 L4
压缩比,10,10,10,10,10
厂商指导价(元),55.49万,57.99万,55.99万,58.49万,64.99万
厂商,Jeep(进口),Jeep(进口),Jeep(进口),Jeep(进口),Jeep(进口)
卫星导航系统,●,●,●,●,●
助力类型,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-
副座椅调节方式,,,,,
前轮距(mm),1636,1636,1636,1636,1636
前轮胎规格,,,,,
前电动机最大扭矩(N·m),53,53,53,53,53
前电动机最大功率(kW),33,33,33,33,33
前方碰撞预警,●,●,●,●,●
前排座椅功能,,,,,
前悬架类型,,,,,
前制动器类型,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●
内后视镜功能,,,,,
全液晶仪表盘,-,-,-,-,-
倒车车侧预警系统,-,●,-,●,●
供油方式,直喷,直喷,直喷,直喷,直喷
低速行车警告,●,●,●,●,●
低速四驱,●,●,●,-,-
主座椅调节方式,,,,,
主动刹车/主动安全系统,-,-,-,●,●
主/副驾驶座电动调节,-,-,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,
中控屏幕尺寸,,,,,
中央差速器结构,,,,,
上市时间,2021.07,2021.07,2022.06,2023.07,2023.07
上坡辅助,●,●,●,●,●
三电系统质保,,,,-,-
Wi-Fi热点,-,-,-,●,●
USB/Type-C接口数量,,,,,
OTA升级,-,-,-,●,●
NEDC综合油耗(L/100km),2.4,2.8,2.4,4.6,6.05
NEDC纯电续航里程(km)_y,55,55,55,-,-
NEDC纯电续航里程(km)_x,55,55,55,-,-
LED日间行车灯,●,●,●,●,●
