Feature,63891
高度(mm),1727
驾驶辅助影像,
驾驶模式切换,
驻车制动类型,
驱动电机数,单电机
驱动方式,
风阻系数(Cd),-
陡坡缓降,●
长度(mm),4597
长*宽*高(mm),4597*1904*1727
钥匙类型,
配气机构,DOHC
道路救援呼叫,●
道路交通标识识别,●
远程启动功能,
远光灯光源,
进气形式,涡轮增压
近光灯光源,
轴距(mm),2741
轮圈材质,
车门数(个),
车门开启方式,平开门
车道偏离预警系统,●
车道保持辅助系统,●
车载空气净化器,●
车载智能系统,
车身结构_y,SUV
车身结构_x,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●
车联网,●
车窗防夹手功能,●
车窗一键升降功能,
车型名称,发现运动版新能源 2024款 1.5T P300e 插电式电动混合版
车前雾灯,-
车内环境氛围灯,
车内化妆镜,
车内中控锁,●
车内PM2.5过滤装置,●
车体结构,承载式
超声波雷达数量,
负离子发生器,●
语音识别控制系统,
语音分区域唤醒识别,
行车电脑显示屏幕,
行李厢12V电源接口,●
蓝牙/车载电话,●
自适应远近光,●
自动驻车,●
自动头灯,●
能量回收系统,●
能源类型_y,插电式混合动力
能源类型_x,插电式混合动力
胎压监测功能,
缸盖材料,铝合金
缸体材料,铝合金
纵向通过角(°),19.5
级别,中型SUV
系统综合扭矩(N·m),540
系统综合功率(kW),227
系统综合功率(Ps),309
简称,8挡手自一体
第二排座椅调节,-
空载最小离地间隙(mm),212
空调温度控制方式,
空气质量监测,●
离去角(°),28
疲劳驾驶提示,●
电芯品牌,
电池能量(kWh),15.5
电池类型,
电池慢充时间(小时)_y,2.05
电池慢充时间(小时)_x,2.05
电池快充电量范围(%)_y,80
电池快充电量范围(%)_x,80
电池快充时间(小时)_y,0.5
电池快充时间(小时)_x,0.5
电池冷却方式,液冷
电机类型,永磁/同步
电机布局,后置
电动机总马力(Ps),109
电动机总扭矩(N·m),260
电动机总功率(kW),80
电动机(Ps),109
电动座椅记忆功能,
电动后备厢位置记忆,●
电动后备厢,●
环保标准_y,国VI
环保标准_x,国VI
牵引力控制(ASR/TCS/TRC等),●
温度分区控制,●
液晶仪表尺寸,
油箱容积(L),58
气缸数(个),3
气缸排列形式,L
每缸气门数(个),4
最高车速(km/h),207
最小转弯半径(m),5.9
最大马力(Ps),200
最大满载质量(kg),2750
最大涉水深度(mm),600
最大扭矩转速(rpm),2000-4500
最大扭矩(N·m)_y,280
最大扭矩(N·m)_x,540
最大功率转速(rpm),5500
最大功率(kW)_y,147
最大功率(kW)_x,227
最大净功率(kW),147
无钥匙进入功能,
无钥匙启动系统,●
方向盘记忆,-
方向盘材质,
方向盘换挡,●
方向盘加热,-
方向盘位置调节,
整车质保,
整备质量(kg),2250
摄像头数量,
推荐燃油标号,95号
接近角(°),23
排量(mL),1498
换电,不支持
换挡形式,
挡位个数,8
扬声器数量,
扬声器品牌名称,
手机无线充电功能,
手机互联/映射,
手机APP远程功能,
慢充接口位置,车左后侧
感应雨刷功能,
快充接口位置,车左后侧
快充功能,支持
座椅材质,
座位数(个),
并线辅助,-
巡航系统,
导航路况信息显示,●
宽度(mm),1904
官方0-100km/h加速(s),7
安全带未系提醒,
天窗类型,
大灯高度可调,●
大灯延时关闭,●
多媒体/充电接口,
多功能方向盘,●
外观套件,
外后视镜功能,
备胎规格,
备胎放置方式,
四驱形式,
后雨刷,●
后轮距(mm),1642
后轮胎规格,
后电动机最大扭矩(N·m),260
后电动机最大功率(kW),80
后电动机型号,TZ180XSC01
后排独立空调,●
后排杯架,●
后排座椅放倒形式,
后悬架类型,
后座出风口,●
后备厢容积(L),780-1574
后制动器类型,
变速箱类型,手自一体变速箱(AT)
变速箱,8挡手自一体
发动机电子防盗,●
发动机布局,横置
发动机型号,PT153
发动机,1.5T 200马力 L3
厂商指导价(元),40.98万
厂商,奇瑞捷豹路虎
卫星导航系统,●
助力类型,
副驾驶位后排可调节按钮,-
副座椅调节方式,
前轮距(mm),1636
前轮胎规格,
前方碰撞预警,●
前方感知摄像头,
前排座椅功能,
前悬架类型,
前制动器类型,
前/后驻车雷达,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●
制动力分配(EBD/CBC等),●
内后视镜功能,
全液晶仪表盘,●
供油方式,直喷
低速行车警告,●
主座椅调节方式,
主动闭合式进气格栅,●
主动刹车/主动安全系统,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●
中控彩色屏幕,
中控屏幕尺寸,
上市时间,2023.07
上坡辅助,●
三电系统质保,
Wi-Fi热点,●
WLTC综合油耗(L/100km),3
WLTC纯电续航里程(km)_y,53
WLTC纯电续航里程(km)_x,53
USB/Type-C最大充电功率,
USB/Type-C接口数量,
OTA升级,●
LED日间行车灯,●
ISOFIX儿童座椅接口,●
ETC装置,○
ABS防抱死,●
4G/5G网络,
