Feature,1020878,1020879,1020909
高度(mm),1945,1960,1945
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,,,
驱动电机数,单电机,单电机,单电机
驱动方式,,,
风阻系数(Cd),-,-,-
陡坡缓降,●,●,●
限滑差速器/差速锁,,,
防侧翻系统,●,●,●
长度(mm),5440,5462,5440
长*宽*高(mm),5440*1991*1945,5462*1992*1960,5440*1991*1945
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●
透明底盘/540度影像,●,●,○
远程启动功能,,,
远光灯光源,,,
进气形式,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,
轴距(mm),3350,3350,3350
轮圈材质,,,
车顶行李架,-,●,-
车门数(个),,,
车门开启方式,平开门,平开门,平开门
车道偏离预警系统,-,-,-
车道保持辅助系统,-,-,-
车载空气净化器,-,-,-
车身结构_y,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,山海炮 Hi4-T 2025款 Hi4-T 全球版,山海炮 Hi4-T 2025款 Hi4-T 性能版,山海炮 Hi4-T 2025款 Hi4-T 商用版
车前雾灯,-,-,-
车内环境氛围灯,-,-,-
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车侧脚踏板,,,
车体结构,非承载式,非承载式,非承载式
超声波雷达数量,,,
货箱尺寸(mm),1500×1520×500,1500×1520×500,1500×1520×500
语音识别控制系统,,,
行车电脑显示屏幕,,,
蓝牙/车载电话,●,●,●
自适应远近光,●,●,●
自动驻车,●,●,●
自动头灯,●,●,●
能量回收系统,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,
缸盖材料,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金
绞盘,-,,-
级别,皮卡,皮卡,皮卡
系统综合扭矩(N·m),750,750,750
系统综合功率(kW),300,300,300
系统综合功率(Ps),408,408,408
简称,9挡手自一体,9挡手自一体,9挡手自一体
第二排座椅调节,,,
第二排座椅电动调节,●,●,●
空调温度控制方式,,,
离去角(°),21,23,21
疲劳驾驶提示,●,●,●
电芯品牌,,,
电池预加热,●,●,●
电池能量(kWh),37.1,37.1,37.1
电池类型,,,
电池慢充电量范围(%)_y,5-100,5-100,5-100
电池慢充电量范围(%)_x,5-100,5-100,5-100
电池慢充时间(小时)_y,6.5,6.5,6.5
电池慢充时间(小时)_x,6.5,6.5,6.5
电池快充电量范围(%)_y,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80
电池快充时间(小时)_y,0.4,0.4,0.4
电池快充时间(小时)_x,0.4,0.4,0.4
电池冷却方式,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置
电动机总马力(Ps),163,163,163
电动机总扭矩(N·m),400,400,400
电动机总功率(kW),120,120,120
电动机(Ps),163,163,163
电动座椅记忆功能,-,-,-
电动后备厢,●,●,-
环保标准_y,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●
燃油标号,92号,92号,92号
温度分区控制,●,●,●
液晶仪表尺寸,,,
涉水喉,-,●,-
油箱容积(L),75,75,75
气缸数(个),4,4,4
气缸排列形式,L,L,L
每缸气门数(个),4,4,4
最高车速(km/h),180,180,180
最小离地间隙(mm),215,232,215
最大马力(Ps),252,252,252
最大载重质量(kg),245,245,245
最大满载质量(kg),3480,3480,3480
最大涉水深度(mm),800,900,800
最大扭矩转速(rpm),-,-,-
最大扭矩(N·m)_y,-,-,-
最大扭矩(N·m)_x,750,750,750
最大功率转速(rpm),-,-,-
最大功率(kW)_y,185,185,185
最大功率(kW)_x,300,300,300
最大净功率(kW),180,180,180
最低荷电状态油耗(L/100km)NEDC,7.9,7.9,7.9
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,●,●,●
方向盘加热,-,-,-
方向盘位置调节,,,
整车质保,,,
整备质量(kg),2910,2910,2910
接近角(°),29,30,29
排量(mL),1998,1998,1998
换挡形式,,,
挡位个数,9,9,9
拖车取电口,●,●,○
拖挂钩,,,
拖挂模式,●,●,○
扬声器数量,,,
扬声器品牌名称,-,-,-
手机无线充电功能,,,
手机无线充电功率,,,
手机互联/映射,,,
手机APP远程功能,,,
慢充接口位置,车右后侧,车右后侧,车右后侧
感应雨刷功能,-,-,-
快充接口位置,车右后侧,车右后侧,车右后侧
快充功能,支持,支持,支持
快充功率(kW),50,50,50
座椅材质,,,
座位数(个),,,
并线辅助,-,-,-
巡航系统,,,
导航路况信息显示,●,●,●
对外交流放电功率(kW),6,6,6
宽度(mm),1991,1992,1991
官方0-100km/h加速(s),7.2,7.2,7.2
安全带未系提醒,,,
天窗类型,-,-,-
大灯高度可调,●,●,●
大灯延时关闭,-,●,-
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
备胎规格,,,
备胎放置方式,,,
坦克转弯,●,●,●
地图品牌,,,
后雨刷,-,-,-
后轮距(mm),1635,1635,1635
后轮胎规格,,,
后排车门开启方式,,,
后排独立空调,-,-,-
后排杯架,●,●,●
后排座椅放倒形式,,,
后排侧隐私玻璃,-,●,-
后悬架类型,,,
后座出风口,●,●,●
后备厢容积(L),-,-,-
后制动器类型,,,
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,9挡手自一体,9挡手自一体,9挡手自一体
发动机布局,纵置,纵置,纵置
发动机型号,GW4N20A,GW4N20A,GW4N20A
发动机,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4
厂商指导价(元),22.88万,24.98万,22.68万
厂商,长城汽车,长城汽车,长城汽车
卫星导航系统,●,●,●
助力类型,,,
副座椅调节方式,,,
前轮距(mm),1635,1635,1635
前轮胎规格,,,
前电动机最大扭矩(N·m),400,400,400
前电动机最大功率(kW),120,120,120
前排座椅功能,-,-,-
前悬架类型,,,
前制动器类型,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●
制动力分配(EBD/CBC等),●,●,●
准拖挂车总质量(kg),3300,3300,3300
内后视镜功能,,,
全液晶仪表盘,●,●,●
侧窗多层隔音玻璃,,,
供油方式,直喷,直喷,直喷
低速行车警告,●,●,●
低速四驱,●,●,●
主座椅调节方式,,,
主动刹车/主动安全系统,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,
中控屏幕尺寸,,,
上市时间,-,-,2025.04
上坡辅助,●,●,●
Wi-Fi热点,●,●,●
USB/Type-C接口数量,,,
OTA升级,●,●,●
NEDC综合续航(km),1000,1000,1000
NEDC综合油耗(L/100km),1.7,1.7,1.7
NEDC纯电续航里程(km)_y,115,115,115
NEDC纯电续航里程(km)_x,115,115,115
LED日间行车灯,●,●,●
ISOFIX儿童座椅接口,●,●,●
ETC装置,○,○,○
ABS防抱死,●,●,●
4G/5G网络,,,
220V/230V电源,●,●,○
