Feature,70353,71463,71464,71465,71466
高度(mm),1489,1489,1489,1489,1489
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,
首任车主质保政策,,,,,
风阻系数(Cd),0.26,0.26,0.26,0.26,0.26
陡坡缓降,-,-,-,-,-
长度(mm),4782,4782,4782,4782,4782
长*宽*高(mm),4782*1875*1489,4782*1875*1489,4782*1875*1489,4782*1875*1489,4782*1875*1489
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,●,-,-,-
透明底盘/540度影像,●,●,-,●,-
远程启动功能,,,,,
远光灯光源,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,
辅助驾驶等级,,,-,-,-
轴距(mm),2752,2752,2752,2752,2752
轮圈材质,,,,,
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,-,-,-
车道偏离预警系统,●,●,-,-,-
车道保持辅助系统,●,●,-,-,-
车载空气净化器,-,-,-,-,-
车载智能系统,,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,银河L6 2025款 EM-i 140km 星舰版,银河L6 2025款 EM-i 140km 探索+版,银河L6 2025款 EM-i 60km 启航版,银河L6 2025款 EM-i 60km 探索版,银河L6 2025款 EM-i 140km 远航版
车前雾灯,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
语音连续识别,●,●,●,●,●
语音识别控制系统,,,,,
语音助手唤醒词,,,,,
语音分区域唤醒识别,,,,,
语音免唤醒词,●,●,●,●,●
行车电脑显示屏幕,,,,,
蓝牙/车载电话,●,●,●,●,●
自适应远近光,●,●,-,-,-
自动驻车,●,●,●,●,●
自动头灯,●,●,●,●,●
能量回收系统,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
第二排座椅调节,-,-,-,-,-
空调温度控制方式,,,,,
离去角(°),17,17,17,17,17
百公里耗电量(kWh/100km),12.2,12.2,11,11,12.2
疲劳驾驶提示,-,-,-,-,-
电芯品牌,,,,,
电池预加热,●,●,●,●,●
电池能量(kWh),19.09,19.09,8.5,8.5,19.09
电池类型,,,,,
电池特有技术,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池
电池慢充时间(小时)_y,6,6,2.7,2.7,6
电池慢充时间(小时)_x,6,6,2.7,2.7,6
电池快充电量范围(%)_y,30-80,30-80,-,-,30-80
电池快充电量范围(%)_x,30-80,30-80,-,-,30-80
电池快充时间(小时)_y,0.33,0.33,-,-,0.33
电池快充时间(小时)_x,0.33,0.33,-,-,0.33
电池冷却方式,直冷,直冷,直冷,直冷,直冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置
电动机总马力(Ps),218,218,218,218,218
电动机总扭矩(N·m),262,262,262,262,262
电动机总功率(kW),160,160,160,160,160
电动机(Ps),218,218,218,218,218
电动座椅记忆功能,-,-,-,-,-
电动后备厢,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-
液晶仪表尺寸,,,,,
油箱容积(L),60,60,60,60,60
油电综合燃料消耗量(L/100km),2.37,2.37,2.63,2.63,2.37
气缸数(个),4,4,4,4,4
气缸排列形式,L,L,L,L,L
每缸气门数(个),4,4,4,4,4
最高车速(km/h),180,180,180,180,180
最大马力(Ps),112,112,112,112,112
最大满载质量(kg),2100,2100,1970,1970,2100
最大扭矩转速(rpm),-,-,-,-,-
最大扭矩(N·m)_y,136,136,136,136,136
最大扭矩(N·m)_x,-,-,-,-,-
最大功率转速(rpm),-,-,-,-,-
最大功率(kW)_y,82,82,82,82,82
最大功率(kW)_x,-,-,-,-,-
最大净功率(kW),79,79,79,79,79
最低荷电状态油耗(L/100km)WLTC,3.95,3.95,3.8,3.8,3.95
最低荷电状态油耗(L/100km)CLTC,2.98,2.98,2.9,2.9,2.98
无钥匙进入功能,,,,,
无钥匙启动系统,●,●,●,●,●
方向盘记忆,-,-,-,-,-
方向盘材质,,,,,
方向盘换挡,-,-,-,-,-
方向盘加热,-,-,-,-,-
方向盘位置调节,,,,,
整车质保,,,,,
整备质量(kg),1700,1700,1570,1570,1700
摄像头数量,,,,,
接近角(°),13,13,13,13,13
排量(mL),1499,1499,1499,1499,1499
换挡形式,,,,,
挡位个数,1,1,1,1,1
扬声器数量,,,,,
扬声器品牌名称,-,-,-,-,-
手机无线充电功能,,-,-,-,-
手机无线充电功率,,-,-,-,-
手机互联/映射,,,,,
手机APP远程功能,,,,,
慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
感应雨刷功能,-,-,-,-,-
快充接口位置,车左后侧,车左后侧,-,-,车左后侧
快充功能,支持,支持,不支持,不支持,支持
快充功率(kW),38,38,6.6,6.6,38
座椅材质,,,,,
座位数(个),,,,,
应用商店,●,●,●,●,●
并线辅助,-,-,-,-,-
巡航系统,,,,,
导航路况信息显示,●,●,●,●,●
对外放电,●,●,●,●,●
宽度(mm),1875,1875,1875,1875,1875
官方0-100km/h加速(s),7.4,7.4,7.4,7.4,7.4
安全带未系提醒,,,,,
天窗类型,,,-,,-
大灯高度可调,●,●,●,●,●
大灯延时关闭,●,●,●,●,●
多媒体/充电接口,,,,,
多功能方向盘,●,●,●,●,●
外后视镜功能,,,,,
备胎规格,,,,,
地图品牌,,,,,
哨兵模式/千里眼,●,●,-,-,-
后雨刷,-,-,-,-,-
后轮距(mm),1624,1624,1624,1624,1624
后轮胎规格,,,,,
后排独立空调,-,-,-,-,-
后排杯架,●,-,-,●,-
后排座椅放倒形式,-,-,-,-,-
后悬架类型,,,,,
后座出风口,●,●,●,●,●
后备厢容积(L),454,454,454,454,454
后制动器类型,,,,,
变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
变速箱,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
发动机电子防盗,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置
发动机型号,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFN
发动机,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4
厂商指导价(元),10.68万,9.98万,7.98万,8.98万,9.28万
厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
卫星导航系统,●,●,●,●,●
助力类型,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-
副座椅调节方式,,,,,
前轮距(mm),1624,1624,1624,1624,1624
前轮胎规格,,,,,
前电动机最大扭矩(N·m),262,262,262,262,262
前电动机最大功率(kW),160,160,160,160,160
前方碰撞预警,●,●,-,-,-
前方感知摄像头,,,-,-,-
前排座椅功能,,-,-,,-
前悬架类型,,,,,
前制动器类型,,,,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●
内置行车记录仪,●,●,-,-,-
内后视镜功能,,,,,
全液晶仪表盘,●,●,●,●,●
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
低速行车警告,●,●,●,●,●
主座椅调节方式,,,,,
主动刹车/主动安全系统,●,●,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副●,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,
中控屏幕尺寸,,,,,
上市时间,2025.02,2025.02,2025.02,2025.02,2025.02
上坡辅助,●,●,●,●,●
三电首任车主质保政策,,,,,
Wi-Fi热点,●,●,●,●,●
WLTC综合油耗(L/100km),0.95,0.95,1.35,1.35,0.95
WLTC纯电续航里程(km)_y,115,115,48,48,115
WLTC纯电续航里程(km)_x,115,115,48,48,115
USB/Type-C接口数量,,,,,
OTA升级,●,●,●,●,●
LED日间行车灯,●,●,-,-,●
ISOFIX儿童座椅接口,●,●,●,●,●
DeepSeek应用,,,,,
CLTC纯电续航里程(km)_y,140,140,60,60,140
CLTC纯电续航里程(km)_x,140,140,60,60,140
ABS防抱死,●,●,●,●,●
4G/5G网络,,,,,
