Feature,54680,58313,60398
高度(mm),1310,1310,1310
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,,,
驱动方式,,,
风阻系数(Cd),-,-,-
陡坡缓降,-,-,-
限滑差速器/差速锁,,,
长度(mm),4265,4265,4265
长*宽*高(mm),4265*1775*1310,4265*1775*1310,4265*1775*1310
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
远光灯光源,,,
进气形式,自然吸气,自然吸气,自然吸气
近光灯光源,,,
运动风格座椅,●,●,●
辅助驾驶系统,-,,-
轴距(mm),2575,2575,2575
轮圈材质,,,
转向头灯,●,●,●
车门数(个),,,
车门开启方式,平开门,平开门,平开门
车道偏离预警系统,-,●,-
车道保持辅助系统,-,-,-
车载空气净化器,-,-,-
车身结构_y,硬顶跑车,硬顶跑车,硬顶跑车
车身结构_x,2门4座硬顶跑车,2门4座硬顶跑车,2门4座硬顶跑车
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,-,-,-
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,丰田86 2022款 GR 86 2.4L 手动版,丰田86 2022款 GR 86 2.4L 自动版,丰田86 2023款 GR 86 2.4L 手动十周年纪念版
车前雾灯,-,-,-
车内环境氛围灯,-,-,-
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,-,-,-
车体结构,承载式,承载式,承载式
语音识别控制系统,,,
行车电脑显示屏幕,,,
行程(mm),86,86,86
蓝牙/车载电话,●,●,●
自适应远近光,-,●,-
自动驻车,-,-,-
自动头灯,●,●,●
膝部气囊,,,
能源类型_y,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油
胎压监测功能,,,
缺气保用轮胎,-,-,-
缸盖材料,铝合金,铝合金,铝合金
缸径(mm),94,94,94
缸体材料,铝合金,铝合金,铝合金
级别,跑车,跑车,跑车
简称,6挡手动,6挡手自一体,6挡手动
第二排座椅调节,-,-,-
空调温度控制方式,,,
疲劳驾驶提示,-,-,-
电动座椅记忆功能,-,-,-
电动后备厢,-,-,-
环保标准_y,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●
燃油标号,95号,95号,95号
满载最小离地间隙(mm),130,130,130
温度分区控制,●,●,●
液晶仪表尺寸,,,
油箱容积(L),50,50,50
气缸数(个),4,4,4
气缸排列形式,H,H,H
每缸气门数(个),4,4,4
最高车速(km/h),226,216,226
最小转弯半径(m),5.4,5.4,5.4
最大马力(Ps),234,234,234
最大满载质量(kg),1670,1700,1670
最大扭矩转速(rpm),3700,3700,3700
最大扭矩(N·m)_y,250,250,250
最大扭矩(N·m)_x,250,250,250
最大功率转速(rpm),7000,7000,7000
最大功率(kW)_y,172,172,172
最大功率(kW)_x,172,172,172
最大净功率(kW),-,-,-
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
无框设计车门,●,●,●
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,●,-
方向盘加热,-,-,-
方向盘位置调节,,,
整车质保,,,
整备质量(kg),1279,1299,1279
排量(mL),2387,2387,2387
换挡形式,,,
挡位个数,6,6,6
扬声器数量,,,
扬声器品牌名称,-,-,-
手机无线充电功能,-,-,-
手机互联/映射,,,
感应雨刷功能,,,
座椅材质,,,
座位数(个),,,
并线辅助,●,●,●
巡航系统,,,
导航路况信息显示,-,-,-
宽度(mm),1775,1775,1775
官方0-100km/h加速(s),6.5,7.3,6.5
安全带未系提醒,,,
天窗类型,-,-,-
大灯高度可调,●,●,●
大灯清洗装置,●,●,●
大灯延时关闭,●,●,●
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
备胎规格,,,
后雨刷,-,-,-
后轮距(mm),1550,1550,1550
后轮胎规格,,,
后排独立空调,-,-,-
后排杯架,-,-,-
后排座椅放倒形式,,,
后悬架类型,,,
后座出风口,-,-,-
后备厢容积(L),237,237,237
后制动器类型,,,
变速箱类型,手动变速箱(MT),手自一体变速箱(AT),手动变速箱(MT)
变速箱,6挡手动,6挡手自一体,6挡手动
发动机电子防盗,●,●,●
发动机特有技术,D-4S,D-4S,D-4S
发动机布局,纵置,纵置,纵置
发动机型号,FA24D,FA24D,FA24D
发动机,2.4L 234马力 H4,2.4L 234马力 H4,2.4L 234马力 H4
压缩比,12.6,12.6,12.6
厂商指导价(元),33.86万,35.86万,34.86万
厂商,丰田(进口),丰田(进口),丰田(进口)
卫星导航系统,-,-,-
助力类型,,,
副驾驶位后排可调节按钮,-,-,-
副座椅调节方式,,,
前轮距(mm),1520,1520,1520
前轮胎规格,,,
前方碰撞预警,-,●,-
前排座椅功能,,,
前悬架类型,,,
前制动器类型,,,
前/后驻车雷达,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●
制动力分配(EBD/CBC等),●,●,●
内后视镜功能,,,
全液晶仪表盘,-,-,-
倒车车侧预警系统,●,●,●
供油方式,混合喷射,混合喷射,混合喷射
主座椅调节方式,,,
主动刹车/主动安全系统,-,●,-
主/副驾驶座电动调节,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,
中控屏幕尺寸,,,
上市时间,2022.08,2022.08,2022.12
上坡辅助,●,●,●
WLTC综合油耗(L/100km),8.2,8.2,8.2
USB/Type-C接口数量,,,
OTA升级,-,-,-
LED日间行车灯,●,●,●
ISOFIX儿童座椅接口,●,●,●
ETC装置,○,○,○
ABS防抱死,●,●,●
